Title,Price,Availability,Rating
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,One
Join,35.67,In stock,Five
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,In stock,Four
The Project,10.65,In stock,One
Soft Apocalypse,26.12,In stock,Two
Sleeping Giants (Themis Files #1),48.74,Stock out,One
Arena,21.36,In stock,Four
Foundation (Foundation (Publication Order) #1),32.42,In stock,One
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,In stock,One
Ready Player One,19.07,In stock,Four
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,In stock,Two
Dune (Dune #1),54.86,In stock,One
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,In stock,One
Three Wishes (River of Time: California #1),44.18,In stock,Two
The Last Girl (The Dominion Trilogy #1),36.26,In stock,Two
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,In stock,Four
