Title,Price,Availability,Rating
In Her Wake,12.84,In stock,One
The Elephant Tree,23.82,In stock,Five
Behind Closed Doors,52.22,Stock out,Four
You (You #1),43.61,In stock,Five
The Guilty (Will Robie #4),13.82,In stock,Two
The 14th Colony (Cotton Malone #11),39.24,In stock,One
Give It Back,18.32,In stock,Two
Killing Floor (Jack Reacher #1),31.49,In stock,Four
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,In stock,Three
Far From True (Promise Falls Trilogy #2),34.93,In stock,Two
The Travelers,15.77,In stock,One
