Title,Price,Availability,Rating
Sharp Objects,47.82,In stock,Four
"In a Dark, Dark Wood",19.63,In stock,One
The Past Never Ends,56.5,In stock,Four
A Murder in Time,16.64,In stock,One
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,In stock,Four
The Last Mile (Amos Decker #2),54.21,In stock,Two
That Darkness (Gardiner and Renner #1),13.92,In stock,One
Tastes Like Fear (DI Marnie Rome #3),10.69,In stock,One
A Time of Torment (Charlie Parker #14),48.35,In stock,Five
A Study in Scarlet (Sherlock Holmes #1),16.73,In stock,Two
Poisonous (Max Revere Novels #3),26.8,In stock,Three
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,In stock,Four
Most Wanted,35.28,In stock,Three
Hide Away (Eve Duncan #20),11.84,Stock out,One
Boar Island (Anna Pigeon #19),59.48,In stock,Three
The Widow,27.26,In stock,Two
Playing with Fire,13.71,In stock,Three
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,In stock,Five
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,In stock,Five
Delivering the Truth (Quaker Midwife Mystery #1),20.89,In stock,Four
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,In stock,Four
In the Woods (Dublin Murder Squad #1),38.38,In stock,Two
The Silkworm (Cormoran Strike #2),23.05,In stock,Five
The Exiled,43.45,In stock,Three
The Cuckoo's Calling (Cormoran Strike #1),19.21,In stock,One
Extreme Prey (Lucas Davenport #26),25.4,In stock,Three
Career of Evil (Cormoran Strike #3),24.72,In stock,Two
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,In stock,Four
The Girl You Lost,12.29,In stock,Five
The Girl In The Ice (DCI Erika Foster #1),15.85,In stock,Three
Blood Defense (Samantha Brinkman #1),20.3,Stock out,Three
1st to Die (Women's Murder Club #1),53.98,In stock,One
