Title,Price,Availability,Rating
The Secret Garden,15.08,In stock,Four
The Metamorphosis,28.58,In stock,One
The Pilgrim's Progress,50.26,In stock,Two
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,In stock,Two
Little Women (Little Women #1),28.07,In stock,Four
Gone with the Wind,32.49,In stock,Three
Candide,58.63,In stock,Three
Animal Farm,57.22,In stock,Three
Wuthering Heights,17.73,In stock,Three
The Picture of Dorian Gray,29.7,Stock out,Two
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,In stock,Four
Beowulf,38.35,In stock,Two
And Then There Were None,35.01,In stock,Two
The Story of Hong Gildong,43.19,In stock,Four
The Little Prince,45.42,In stock,Two
Sense and Sensibility,37.46,In stock,One
Of Mice and Men,47.11,Stock out,Two
Emma,32.93,In stock,Two
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,In stock,One
